NEW_KEY_CODE,Lake_Name,LATITUDE,LONGITUDE,EDU,DR_COD2,LP,AVGD_M,MAXD_M,TP,ALK,SEC,CHLRD,CHLA,COLOR,NITRATE,TN,LK_AREA_HA,LCL_AREA_HA,NET_AREA_HA,UPDIST_NET,UPDIST_LCL,URB_A,AGR_A,FOC_A,FOD_A,FOR_A,WAT_A,WEF_A,WEE_A,WET_A,URB_B,AGR_B,FOC_B,FOD_B,FOR_B,WAT_B,WEF_B,WEE_B,WET_B,URB_C,AGR_C,FOC_C,FOD_C,FOR_C,WAT_C,WEF_C,WEE_C,WET_C,URB_D,AGR_D,FOC_D,FOD_D,FOR_D,WAT_D,WEF_D,WEE_D,WET_D,URB_E,AGR_E,FOC_E,FOD_E,FOR_E,WAT_E,WEF_E,WEE_E,WET_E,URB_F,AGR_F,FOC_F,FOD_F,FOR_F,WAT_F,WEF_F,WEE_F,WET_F,URB_G,AGR_G,FOC_G,FOD_G,FOR_G,WAT_G,WEF_G,WEE_G,WET_G,URB_H,AGR_H,FOC_H,FOD_H,FOR_H,WAT_H,WEF_H,WEE_H,WET_H
7_540,Big Lake,46.61389,-88.58,8,ISOL,S,1.3,10.3632,9,2,4.7244,1.8,2.8,5,210,414,48.061,313.029,,,0.000,0.000,0.000,81.957,0.000,81.957,5.042,5.209,7.793,13.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.299,79.564,0.000,79.564,2.746,4.627,11.255,15.881,0.000,3.620,68.105,0.000,68.105,2.746,8.384,11.309,19.693,0.000,5.006,65.983,0.000,65.983,2.623,9.254,11.316,20.570,0.000,5.006,65.983,0.000,65.983,2.623,9.254,11.316,20.570,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
71_115,Lost Lake,45.2925,-83.96612,5,ISOL,S,1.5,5.1816,11,37,3.3528,1.5,2.8,8,5,812,41.454,457.682,,,0.000,31.713,0.000,4.867,53.943,58.811,5.063,4.413,0.000,4.413,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.805,0.000,15.263,66.049,81.313,0.540,8.589,0.000,8.589,3.933,0.000,23.101,55.443,78.543,0.540,8.409,0.000,8.409,2.999,0.000,21.127,62.102,83.229,0.411,6.413,0.000,6.413,2.410,0.035,20.712,63.532,84.245,0.331,5.153,0.000,5.153,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
75_1048,Gemini Lakes,46.48806,-86.30278,7,ISOL,S,2.7,6.096,14,21,2.5908,0.2,3.1,10,5,372,50.843,226.491,,,0.000,0.000,0.000,9.944,86.635,96.579,2.586,0.835,0.000,0.835,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.091,82.468,90.559,1.141,6.874,0.812,7.686,0.000,0.000,6.252,83.225,89.476,1.141,5.311,3.128,8.439,0.000,0.000,6.235,83.268,89.504,1.138,5.297,3.120,8.417,0.000,0.000,6.235,83.268,89.504,1.138,5.297,3.120,8.417,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
75_298,Island Lake,46.11695,-86.27723,7,ISOL,S,5.2,18.288,3,15,3.9624,0.5,3.6,2,1,304,41.913,205.133,,,0.000,14.627,0.000,0.000,64.875,64.875,4.228,0.000,16.270,16.270,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.209,0.000,0.247,81.550,81.797,2.983,0.000,6.466,6.466,2.936,0.000,0.204,74.959,75.163,2.983,0.000,6.575,6.575,2.760,0.000,0.191,74.509,74.701,2.804,0.000,6.182,6.182,2.760,0.000,0.191,74.509,74.701,2.804,0.000,6.182,6.182,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
75_423,Colwell Lake,46.22111,-86.43917,7,ISOL,S,4.6,7.62,11,42,4.7244,2,1.8,4,36,435,51.953,44.277,,,0.000,0.000,0.000,0.000,96.222,96.222,3.778,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,97.736,97.736,2.264,0.000,0.000,0.000,0.000,0.000,0.000,97.736,97.736,2.264,0.000,0.000,0.000,0.000,0.000,0.000,97.736,97.736,2.264,0.000,0.000,0.000,0.000,0.000,0.000,97.736,97.736,2.264,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
78_29,Fishers Lake,41.995,-85.5725,3,ISOL,S,4,12.8016,8,102,2.286,9,5.1,2,16,367,133.580,491.052,,,0.000,62.333,4.382,0.000,24.320,24.320,3.951,1.104,0.000,1.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.936,39.865,0.000,28.768,28.768,0.684,0.768,0.000,0.768,16.014,45.240,0.000,30.257,30.257,0.684,0.743,0.000,0.743,14.148,46.274,1.091,28.577,29.667,0.594,0.645,0.000,0.645,13.748,47.074,1.060,28.487,29.547,0.578,0.627,0.000,0.627,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
78_51,Sand Lake,41.915,-85.45445,3,ISOL,S,2.5,6.7056,37,142,1.3716,18.3,8.8,7,42,1312,38.246,183.595,,,0.000,65.497,21.775,0.000,0.000,0.000,10.988,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28.058,68.555,0.000,0.000,0.000,1.887,0.000,0.000,0.000,21.529,74.133,0.000,0.480,0.480,1.887,0.000,0.000,0.000,18.998,70.643,0.397,5.841,6.238,1.665,0.087,0.000,0.087,18.421,71.137,0.385,6.062,6.447,1.615,0.084,0.000,0.084,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
78_93,Clear Lake,41.95139,-85.73556,3,ISOL,S,3.6,9.4488,19,106,2.5908,2.9,2.8,6,6,668,94.279,192.062,,,0.000,59.504,0.026,0.000,21.945,21.945,2.807,2.642,6.666,9.308,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.652,8.140,0.389,52.953,53.343,0.891,1.517,2.189,3.706,22.863,9.975,0.376,52.417,52.793,0.891,1.466,2.116,3.582,22.863,9.975,0.376,52.417,52.793,0.891,1.466,2.116,3.582,22.863,9.975,0.376,52.417,52.793,0.891,1.466,2.116,3.582,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
78_94,Pleasant Lake,41.95834,-85.70223,3,ISOL,S,5.9,16.1544,12,127,2.7432,5.2,1.9,6,12,438,103.646,1413.489,,,0.000,53.655,1.066,0.000,20.688,20.688,3.732,16.803,0.000,16.803,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.036,24.674,0.000,33.296,33.296,3.518,7.706,0.511,8.217,13.381,25.526,0.021,38.502,38.523,3.518,5.335,2.989,8.324,10.378,26.248,0.296,41.130,41.426,2.691,4.538,3.770,8.307,6.719,47.854,0.139,29.915,30.054,1.453,2.637,2.091,4.729,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8_192,Pine Lake,42.49917,-85.52362,3,ISOL,S,3.6,10.3632,10,139,3.2004,3.1,3,7,4,575,247.511,564.839,,,0.000,63.270,12.486,0.515,9.229,9.743,6.765,4.411,1.163,5.573,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.273,37.746,0.176,15.571,15.747,2.059,4.901,0.430,5.331,23.791,41.694,0.171,16.152,16.323,2.059,4.665,0.372,5.037,23.648,41.678,0.170,16.216,16.386,2.046,4.637,0.370,5.007,23.648,41.678,0.170,16.216,16.386,2.046,4.637,0.370,5.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8_57,Clear Lake,42.50834,-85.27306,3,ISOL,S,2,4.8768,9,31,3.3528,6.6,3.2,14,8,874,75.576,768.895,,,0.000,38.691,10.134,1.420,30.559,31.979,1.241,11.511,6.013,17.524,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.597,44.301,2.520,24.462,26.982,0.121,5.666,4.634,10.300,9.239,51.500,2.056,24.396,26.452,0.121,3.630,3.119,6.748,8.688,53.200,1.911,24.153,26.064,0.108,3.476,2.803,6.279,8.539,53.902,1.878,23.841,25.719,0.106,3.416,2.755,6.171,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
80_258,Huzzy Lake,42.13334,-85.82223,3,ISOL,S,4.6,10.3632,15,83,3.2004,2.4,2.8,8,23,563,39.392,222.876,,,0.000,62.223,6.893,0.000,22.757,22.757,1.817,4.066,1.563,5.629,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.946,49.506,0.000,22.663,22.663,0.286,3.789,4.201,7.989,12.140,59.499,0.269,17.229,17.498,0.286,2.714,3.009,5.723,12.008,59.823,0.266,17.042,17.308,0.283,2.685,2.977,5.661,12.008,59.823,0.266,17.042,17.308,0.283,2.685,2.977,5.661,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
80_261,Bankson Lake,42.11806,-85.79973,3,ISOL,S,4.1,12.8016,14,79,3.5052,4.4,0.85,10,6,630,147.119,293.752,,,0.000,19.408,27.162,0.000,37.522,37.522,2.093,0.000,5.321,5.321,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.139,39.453,0.000,34.103,34.103,0.720,0.020,6.511,6.531,7.524,38.303,0.000,36.692,36.692,0.720,0.018,6.019,6.037,7.524,38.303,0.000,36.692,36.692,0.720,0.018,6.019,6.037,7.524,38.303,0.000,36.692,36.692,0.720,0.018,6.019,6.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
80_273,Cedar Lake,42.08889,-85.82834,3,ISOL,S,7.3,25.6032,32,111,3.3528,2.7,3.6,4,140,762,111.234,477.574,,,0.000,16.021,45.630,0.000,28.891,28.891,2.880,0.000,3.546,3.546,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.117,64.319,0.000,23.093,23.093,1.033,0.507,1.118,1.625,2.944,73.055,0.000,17.647,17.647,1.033,0.407,0.872,1.279,2.838,74.025,0.000,17.011,17.011,0.996,0.392,0.841,1.233,2.838,74.025,0.000,17.011,17.011,0.996,0.392,0.841,1.233,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
80_281,Gravel Lake,42.07834,-85.86639,3,ISOL,H,5.6,15.5448,12,116,2.8956,4.9,1.2,10,8,431,120.305,840.673,,,0.000,79.785,9.074,0.000,5.607,5.607,3.421,1.878,0.000,1.878,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28.881,36.038,0.000,18.348,18.348,0.405,9.774,4.751,14.525,15.688,52.421,0.000,17.085,17.085,0.405,7.439,4.011,11.449,11.243,58.611,0.000,18.556,18.556,0.290,5.782,2.874,8.656,7.378,67.318,0.000,16.967,16.967,0.191,3.796,1.886,5.682,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
80_318,Round Lake,42.07917,-86.20695,3,ISOL,S,2.3,8.2296,32,38,0.6096,3.5,52,6,14,1073,83.096,148.677,,,0.000,77.204,0.284,0.000,11.502,11.502,10.475,0.178,0.000,0.178,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,38.514,22.121,0.290,22.505,22.796,2.437,4.272,0.000,4.272,36.105,25.083,0.272,21.213,21.485,2.437,4.364,0.000,4.364,36.105,25.083,0.272,21.213,21.485,2.437,4.364,0.000,4.364,36.105,25.083,0.272,21.213,21.485,2.437,4.364,0.000,4.364,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
80_320,Magician Lake,42.0658333,-86.1791667,3,ISOL,H,3.87,15.2,12,131,2.5908,10.6,1.4,10,10,478,209.873,735.347,,,0.000,69.330,0.468,2.186,11.742,13.928,1.276,4.234,0.000,4.234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.893,29.481,5.554,14.605,20.158,0.281,1.724,0.000,1.724,24.867,48.269,3.856,10.724,14.580,0.281,1.197,0.000,1.197,21.952,49.502,3.382,13.559,16.942,0.246,1.050,0.000,1.050,18.733,55.884,2.819,11.734,14.553,0.205,0.875,0.000,0.875,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
81_147,Crooked Lake,42.32695,-84.11139,16,ISOL,S,1.7,6.096,9,91,4.572,2.1,1.8,6,12,724,45.518,251.942,,,0.000,39.133,0.000,0.000,10.706,10.706,3.197,30.313,0.000,30.313,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.857,14.876,0.000,23.729,23.729,0.572,22.044,0.000,22.044,9.820,35.998,0.000,22.997,22.997,0.572,16.040,0.000,16.040,9.062,40.708,0.000,21.613,21.613,0.522,14.633,0.000,14.633,9.062,40.708,0.000,21.613,21.613,0.522,14.633,0.000,14.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
81_157,Cedar Lake,42.31528,-84.08056,16,ISOL,S,3.1,8.2296,14,107,3.5052,5.7,0.99,9,12,926,29.708,104.214,,,0.000,12.467,0.000,6.976,77.866,84.841,0.221,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.112,2.552,8.521,53.736,62.257,0.062,0.000,0.000,0.000,12.546,3.341,7.878,51.827,59.705,0.062,0.000,0.000,0.000,12.546,3.341,7.878,51.827,59.705,0.062,0.000,0.000,0.000,12.546,3.341,7.878,51.827,59.705,0.062,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
54_194,Merrill Lake,43.80889,-85.15695,4,ISOL,S,2.6,8.2296,13,0,3.3528,0,3.4,14,4,798,34.370,343.031,,,0.000,12.888,1.940,45.169,35.285,80.454,3.185,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.110,16.734,25.728,36.979,62.708,0.884,0.000,0.582,0.582,5.939,15.368,22.605,41.922,64.527,0.884,1.186,1.232,2.418,4.664,18.899,19.640,41.672,61.311,0.695,0.931,2.038,2.969,4.659,18.999,19.616,41.620,61.236,0.694,0.930,2.035,2.966,0.133,0.000,0.000,99.376,99.376,0.491,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36_174,Camp Lake,46.04195,-88.71473,8,ISOL,H,5.5,17.0688,11,93,4.2672,1.9,2.8,4,17,389,39.665,329.966,,,0.003,71.752,0.191,3.840,20.034,23.874,2.456,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.156,4.625,1.642,72.840,74.481,0.292,0.000,0.000,0.000,10.036,3.157,1.193,80.692,81.885,0.292,0.000,0.000,0.000,9.119,2.868,1.302,82.238,83.540,0.266,0.000,0.000,0.000,9.119,2.868,1.302,82.238,83.540,0.266,0.000,0.000,0.000,90.560,0.000,0.000,0.000,0.000,9.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36_466,Little Smoky Lake,46.10723,-88.93473,8,ISOL,H,3.1,6.096,16,2,3.048,0.9,4,9,12,420,34.912,289.418,,,0.003,0.000,0.000,7.059,76.009,83.069,3.963,0.000,4.360,4.360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.298,89.708,92.006,0.475,0.002,0.874,0.876,0.000,0.000,5.403,89.259,94.662,0.475,0.002,0.566,0.567,0.000,0.000,5.423,90.129,95.552,0.396,0.001,0.471,0.473,0.000,0.000,5.150,90.625,95.775,0.376,0.001,0.448,0.449,0.000,0.000,3.576,72.860,76.436,15.204,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
35_4,Round Lake,44.34028,-83.65695,4,DRSTLK,F,1.5,4.572,13,64,2.2352,1,5.6,12,2,905,36.313,29.909,1822.904,8.283,0.003,93.923,0.000,0.000,0.904,0.904,5.173,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,86.412,0.000,0.000,7.514,7.514,3.697,2.377,0.000,2.377,86.412,0.000,0.000,7.514,7.514,3.697,2.377,0.000,2.377,86.412,0.000,0.000,7.514,7.514,3.697,2.377,0.000,2.377,86.412,0.000,0.000,7.514,7.514,3.697,2.377,0.000,2.377,89.451,0.000,0.000,9.966,9.966,0.583,0.000,0.000,0.000,3.291,0.000,71.460,18.198,89.658,4.750,1.852,0.334,2.187
27_111,Allen Lake,46.22389,-89.17223,6,ISOL,S,4.5,7.62,9,3,3.048,3.6,1.7,27,8,416,31.485,603.806,,,0.006,3.019,0.000,0.525,88.474,88.999,4.666,3.317,0.000,3.317,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.790,0.000,7.355,86.074,93.428,3.357,3.946,0.000,3.946,0.514,0.000,6.334,84.289,90.623,3.357,5.105,0.000,5.105,0.307,0.000,8.682,79.315,87.997,4.380,4.024,3.053,7.077,0.183,0.000,7.047,80.794,87.842,3.228,4.708,3.898,8.605,0.000,0.000,68.169,23.195,91.364,7.994,0.643,0.000,0.643,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
60_162,Avalon Lake,45.10278,-83.95556,5,ISOL,S,10.6,22.5552,2,119,6.096,1.3,0.9,1,9,273,156.240,241.617,,,0.006,83.502,0.000,0.215,10.673,10.888,4.100,1.511,0.000,1.511,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,40.100,0.000,4.920,52.914,57.834,0.846,0.973,0.000,0.973,31.055,0.000,10.651,56.695,67.345,0.846,0.753,0.000,0.753,31.055,0.000,10.651,56.695,67.345,0.846,0.753,0.000,0.753,31.055,0.000,10.651,56.695,67.345,0.846,0.753,0.000,0.753,88.865,0.000,0.000,0.000,0.000,0.000,11.135,0.000,11.135,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
27_914,Eel Lake,46.2775,-89.76028,6,ISOL,S,2.7,7.62,13,39,3.6576,0.2,0.91,8,11,329,20.970,73.364,,,0.008,7.957,0.000,8.718,78.333,87.051,2.013,2.978,0.000,2.978,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.862,0.000,27.210,68.132,95.342,0.703,1.071,0.000,1.071,2.777,0.000,26.902,68.580,95.482,0.703,1.039,0.000,1.039,2.777,0.000,26.902,68.580,95.482,0.703,1.039,0.000,1.039,2.777,0.000,26.902,68.580,95.482,0.703,1.039,0.000,1.039,0.000,0.000,0.000,48.975,48.975,0.340,50.684,0.000,50.684,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13_9,Duck Lake,42.28473,-85.21167,3,ISOL,H,4,15.24,14,123,2.743,16.3,0.69,7,0,638,241.229,651.100,,,0.009,66.802,1.866,0.000,6.172,6.172,3.637,16.872,0.000,16.872,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30.300,37.879,0.000,15.622,15.622,0.484,7.015,0.000,7.015,21.689,50.327,0.450,16.296,16.746,0.484,4.627,0.000,4.627,19.546,52.201,0.387,16.697,17.083,0.415,4.399,0.000,4.399,19.127,52.846,0.373,16.615,16.988,0.401,4.243,0.000,4.243,89.900,0.000,0.000,0.000,0.000,9.558,0.541,0.000,0.541,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
59_295,Clifford Lake,43.31223,-85.19584,3,ISOL,H,4.7,13.716,11,105,2.7432,9.9,5.1,9,10,717,78.823,283.024,,,0.012,35.230,20.983,1.008,20.708,21.716,4.394,10.974,1.358,12.332,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.126,40.424,7.826,27.995,35.821,1.135,5.802,0.402,6.204,7.986,55.144,5.334,20.868,26.202,1.135,4.723,0.265,4.988,7.930,55.434,5.297,20.724,26.021,1.128,4.690,0.263,4.954,7.930,55.434,5.297,20.724,26.021,1.128,4.690,0.263,4.954,43.260,0.000,0.000,0.000,0.000,54.117,2.623,0.000,2.623,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1_99,Jewell Lake,44.67917,-83.61056,5,ISOL,H,1.8,10.3632,16,123,2.4384,3.9,3,4,11,740,74.691,233.638,,,0.014,37.600,0.000,17.079,32.502,49.582,1.721,3.329,0.000,3.329,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.046,3.227,4.892,26.838,31.730,0.284,7.974,0.000,7.974,25.729,2.806,7.507,23.760,31.267,0.284,6.782,0.000,6.782,25.487,2.780,7.437,23.537,30.974,0.281,6.718,0.000,6.718,25.487,2.780,7.437,23.537,30.974,0.281,6.718,0.000,6.718,12.959,0.000,82.493,0.000,82.493,4.547,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
63_1433,Wildwood Lake,42.80611,-83.51389,4,DRSTLK,F,2.5,5.1816,24,121,2.5908,23,1.4,10,142,775,48.446,73.781,1214.750,2.916,0.016,24.721,0.020,0.000,48.418,48.418,0.424,0.002,0.019,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.517,0.010,0.000,40.358,40.358,0.205,0.001,0.009,0.010,23.517,0.010,0.000,40.358,40.358,0.205,0.001,0.009,0.010,23.517,0.010,0.000,40.358,40.358,0.205,0.001,0.009,0.010,23.517,0.010,0.000,40.358,40.358,0.205,0.001,0.009,0.010,16.613,0.000,0.000,71.349,71.349,12.038,0.000,0.000,0.000,25.445,18.902,0.720,26.009,26.729,3.264,2.314,1.031,3.345
78_142,Big Fish Lake,41.87639,-85.47917,3,ISOL,S,7.4,22.86,10,66,4.572,3.3,3,4,39,512,59.447,944.041,,,0.017,67.854,2.800,1.841,9.929,11.770,4.079,8.552,1.869,10.421,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.970,38.061,1.865,21.556,23.421,0.312,6.027,2.010,8.038,8.256,60.082,1.518,15.845,17.363,0.312,3.961,1.967,5.928,6.092,62.149,1.497,16.087,17.584,0.230,2.923,2.440,5.363,4.746,61.749,1.885,17.772,19.657,0.172,2.177,1.817,3.994,67.772,0.000,9.654,0.000,9.654,0.000,0.000,22.574,22.574,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
75_742,Boot Lake,46.26778,-86.44528,7,ISOL,S,3.6,9.144,8,40,2.5908,2.4,6.8,24,2,303,42.969,73.755,,,0.017,29.771,0.000,6.923,58.844,65.767,4.462,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.125,0.000,6.966,64.850,71.817,2.177,0.000,1.882,1.882,24.125,0.000,6.966,64.850,71.817,2.177,0.000,1.882,1.882,24.125,0.000,6.966,64.850,71.817,2.177,0.000,1.882,1.882,24.125,0.000,6.966,64.850,71.817,2.177,0.000,1.882,1.882,34.768,0.000,0.000,45.130,45.130,20.102,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
35_96,Long Lake,44.41334,-83.85778,4,ISOL,H,5,18.8976,18,92,3.048,9.8,4,14,8,671,196.319,485.657,,,0.019,79.268,0.113,0.164,9.061,9.225,6.708,3.936,0.000,3.936,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,43.509,5.430,5.851,30.221,36.072,4.585,4.611,0.212,4.824,32.697,5.864,11.289,32.738,44.027,4.585,4.182,0.548,4.730,28.618,5.637,9.904,35.209,45.113,4.013,3.660,0.480,4.140,26.443,5.209,9.151,38.598,47.749,3.708,3.618,0.443,4.061,62.042,0.000,0.000,37.916,37.916,0.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
28_106,Bass Lake,44.69362,-85.71445,5,ISOL,H,2.7,8.8,8,30,3.6576,1,4.5,4,10,592,138.516,222.827,,,0.020,21.660,0.031,2.773,64.349,67.122,2.432,8.162,0.000,8.162,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.637,12.203,3.333,51.996,55.329,0.893,7.603,0.477,8.080,13.688,21.793,2.698,43.197,45.895,0.893,6.156,0.594,6.750,13.162,24.731,2.663,41.536,44.200,0.858,5.920,0.571,6.491,13.162,24.731,2.663,41.536,44.200,0.858,5.920,0.571,6.491,9.419,0.000,0.000,21.927,21.927,2.768,65.886,0.000,65.886,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
35_9,Sand Lake,44.32723,-83.67639,4,DRSTLK,T,2.3,7.62,9,73,3.048,3.5,3.1,6,4,470,99.325,75.001,2057.916,8.743,0.021,71.639,0.000,0.000,13.827,13.827,12.390,0.000,2.144,2.144,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,56.722,0.000,0.000,30.542,30.542,8.905,0.007,3.488,3.495,56.562,0.000,0.000,31.122,31.122,8.905,0.007,3.405,3.411,56.562,0.000,0.000,31.122,31.122,8.905,0.007,3.405,3.411,56.562,0.000,0.000,31.122,31.122,8.905,0.007,3.405,3.411,0.000,0.000,0.000,77.014,77.014,22.986,0.000,0.000,0.000,7.939,0.000,63.353,18.156,81.509,8.276,1.698,0.477,2.175
36_553,Ellen Lake,46.1725,-88.15195,8,ISOL,S,6.9,18.288,4,34,4.572,0.3,1.9,3,11,374,56.604,157.386,,,0.021,4.523,0.000,0.000,92.290,92.290,3.187,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.235,0.000,0.000,91.448,91.448,1.029,0.000,4.112,4.112,2.763,0.000,0.000,92.697,92.697,1.029,0.000,3.511,3.511,2.763,0.000,0.000,92.697,92.697,1.029,0.000,3.511,3.511,2.763,0.000,0.000,92.697,92.697,1.029,0.000,3.511,3.511,65.314,0.000,0.000,28.575,28.575,6.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
